key,family,family_label,params,direction,direction_label,expression,description,elapsed_seconds,IC,IR,Turnover,Score,PassGates,maxx,minn,max_mean,min_mean,positive_ic_ratio,daily_ic_mean_bps
body_fraction__base__pro,body_fraction,Body Fraction,{},1,pro,rank(+1 * ((close-open)/(high-low+eps))),Follow strong candle bodies after scaling by current bar range.,11.66,0.0121234531323887,21.171093966870135,11.914468765258787,2.837204090785992,True,4.354926586151123,0.0,4.050323486328125,4.926003748551011e-05,0.9228650137741048,1.2123453132388724
bar_return__base__pro,bar_return,Close To Previous Close Return,{},1,pro,"rank(+1 * (close_trade_px/delay(close_trade_px,1) - 1))",Follow the last-bar close-to-close return.,10.287,0.0125066838869654,19.15084116480588,12.09870147705078,2.82583708534951,True,4.356349468231201,0.0,4.052391529083252,0.0,0.9049586776859504,1.2506683886965455
range_conditioned_body__window8__pro,range_conditioned_body,Body x Range Surprise,{'window': 8},1,pro,"rank(+1 * body_frac * (range_pct/mean(range_pct,8)))",Follow candle body when the contemporaneous range is a 8-bar outlier.,13.523,0.0122986683730426,19.58711684568741,11.862896919250488,2.8179618352307636,True,4.356349468231201,0.0,4.05239200592041,0.0,0.9077134986225897,1.229866837304262
avg_trade_conditioned_return__window16__pro,avg_trade_conditioned_return,Return x Average Trade Value Surprise,{'window': 16},1,pro,"rank(+1 * close_ret * ((dvolume/trade_count)/mean(dvolume/trade_count,16)))",Follow moves when average trade value is stretched over a 16-bar context.,15.896,0.0124877389046029,18.691630612757816,12.014753341674805,2.8017080456777985,True,4.356349468231201,0.0,4.05239200592041,0.0,0.90633608815427,1.248773890460291
close_zscore__window24__anti,close_zscore,Close Z-Score Stretch,{'window': 24},-1,anti,"rank(-1 * zscore(close_trade_px, 24))",Fade rolling 24-bar close z-score stretch; captures short-horizon intraday price extension.,12.541,0.013680693782033,5.469291623504798,3.6005160808563232,2.7784200861805672,True,4.356349468231201,0.0,4.051764011383057,0.0,0.6460055096418733,1.3680693782033022
avg_trade_conditioned_return__window8__pro,avg_trade_conditioned_return,Return x Average Trade Value Surprise,{'window': 8},1,pro,"rank(+1 * close_ret * ((dvolume/trade_count)/mean(dvolume/trade_count,8)))",Follow moves when average trade value is stretched over a 8-bar context.,14.039,0.0124268318202318,18.564760748801433,12.02921199798584,2.7628256985754587,True,4.356349468231201,0.0,4.05239200592041,0.0,0.9022038567493113,1.2426831820231878
trade_conditioned_return__window16__pro,trade_conditioned_return,Return x Trade-Count Surprise,{'window': 16},1,pro,"rank(+1 * close_ret * (trade_count/mean(trade_count,16)))",Follow short return moves when quote/print activity spikes versus a 16-bar average.,19.539,0.012177203316031,18.209572998845875,11.928767204284668,2.6511764436302503,True,4.356349468231201,0.0,4.05239200592041,0.0,0.8884297520661157,1.2177203316031016
dvolume_conditioned_return__window16__pro,dvolume_conditioned_return,Return x Dollar-Volume Surprise,{'window': 16},1,pro,"rank(+1 * close_ret * (dvolume/mean(dvolume,16)))",Follow return intensity when dollar volume is unusually large over 16 bars.,18.341,0.0121774523030276,17.79382983346034,11.88420295715332,2.6302414046707985,True,4.356349468231201,0.0,4.05239200592041,0.0,0.8856749311294766,1.217745230302761
volume_conditioned_return__window16__pro,volume_conditioned_return,Return x Volume Surprise,{'window': 16},1,pro,"rank(+1 * close_ret * (volume/mean(volume,16)))",Follow close-to-close return when volume is elevated against a 16-bar baseline.,11.28,0.0121602576856844,17.73008689004751,11.88358211517334,2.618416566018825,True,4.356349468231201,0.0,4.05239200592041,0.0,0.8856749311294766,1.216025768568448
trade_conditioned_return__window8__pro,trade_conditioned_return,Return x Trade-Count Surprise,{'window': 8},1,pro,"rank(+1 * close_ret * (trade_count/mean(trade_count,8)))",Follow short return moves when quote/print activity spikes versus a 8-bar average.,21.385,0.0121511921896945,17.7987994560643,11.96051788330078,2.6034317891745475,True,4.356349468231201,0.0,4.05239200592041,0.0,0.8856749311294766,1.2151192189694549
dvolume_conditioned_return__window8__pro,dvolume_conditioned_return,Return x Dollar-Volume Surprise,{'window': 8},1,pro,"rank(+1 * close_ret * (dvolume/mean(dvolume,8)))",Follow return intensity when dollar volume is unusually large over 8 bars.,11.102,0.0120585656376278,17.24693101843739,11.91799545288086,2.533115452369968,True,4.356349468231201,0.0,4.05239200592041,0.0,0.8774104683195593,1.2058565637627865
volume_conditioned_return__window8__pro,volume_conditioned_return,Return x Volume Surprise,{'window': 8},1,pro,"rank(+1 * close_ret * (volume/mean(volume,8)))",Follow close-to-close return when volume is elevated against a 8-bar baseline.,11.045,0.0120495664264661,17.21910203129333,11.917277336120604,2.52748564861941,True,4.356349468231201,0.0,4.05239200592041,0.0,0.8774104683195593,1.2049566426466138
volatility_conditioned_return__window32__pro,volatility_conditioned_return,Return / Recent Volatility,{'window': 32},1,pro,"rank(+1 * close_ret / std(close_ret,32))",Follow bar return after normalizing by 32-bar realized volatility.,10.592,0.0109742151889476,17.649767113857056,12.214400291442873,2.04471215281844,True,4.356349468231201,0.0,4.05239200592041,0.0,0.8746556473829201,1.0974215188947605
close_zscore__window15__anti,close_zscore,Close Z-Score Stretch,{'window': 15},-1,anti,"rank(-1 * zscore(close_trade_px, 15))",Fade rolling 15-bar close z-score stretch; captures short-horizon intraday price extension.,12.504,0.0104401589257983,5.05075155985646,4.661166667938232,1.822536059200064,True,4.356349468231201,0.0,4.05239200592041,0.0,0.6225895316804407,1.044015892579836
volatility_conditioned_return__window16__pro,volatility_conditioned_return,Return / Recent Volatility,{'window': 16},1,pro,"rank(+1 * close_ret / std(close_ret,16))",Follow bar return after normalizing by 16-bar realized volatility.,12.93,0.0103726883105039,16.486924104180176,12.192586898803713,1.7363913686005847,True,4.356349468231201,0.0,4.05239200592041,0.0,0.8581267217630854,1.037268831050393
multi_horizon_mix__base__anti,multi_horizon_mix,1/4/16-Bar Return Mix,{},-1,anti,rank(-1 * (ret1 + 0.5*ret4 + 0.25*ret16)),Fade a blended 1/4/16-bar return stack.,12.329,0.0078022765317368,3.12479130731778,7.06276273727417,0.754969522570127,True,4.356349468231201,0.0,4.052395343780518,0.0,0.5964187327823691,0.7802276531736864
